Paine,200.000000,90.000000,78.000000,90.000000,12.000000,9.000000,100.000000
Avocado,200.000000,54.000000,32.000000,56.000000,100.000000,1.000000,300.000000
Branza,100.000000,20.000000,10.000000,0.000000,20.000000,2.000000,100.000000
crenvursti,223.400000,20.000000,0.200000,0.000000,12.000000,0.000000,100.000000
Rosie,25.000000,0.300000,4.300000,0.000000,1.100000,0.000000,100.000000
castraveti,15.000000,0.000000,3.600000,0.500000,0.700000,0.000000,100.000000
pateu,319.000000,28.000000,1.500000,0.000000,14.000000,6.970000,100.000000
ou,146.000000,10.000000,1.000000,0.000000,13.000000,0.000000,100.000000
cereale,388.000000,14.000000,86.000000,0.000000,7.300000,0.000000,100.000000
lapte,44.000000,1.500000,4.500000,0.000000,3.100000,0.100000,100.000000
gem,242.000000,0.000000,58.000000,3.000000,0.500000,0.000000,100.000000
